#TENSORS 174
#DATASEG 3957880832
model.layers.8.self_attn.q_norm.weight | BF16 | [128] | 3729804544 | 256 | 17813980288276740612
model.layers.8.self_attn.q_proj.weight | BF16 | [4096,2560] | 3729804800 | 20971520 | 3282103400909278892
model.layers.8.self_attn.v_proj.weight | BF16 | [1024,2560] | 3750776320 | 5242880 | 14321745887233444482
model.layers.9.input_layernorm.weight | BF16 | [2560] | 3756019200 | 5120 | 6541276783674201824
model.layers.9.mlp.down_proj.weight | BF16 | [2560,9728] | 3756024320 | 49807360 | 9224769347679616212
model.layers.9.mlp.gate_proj.weight | BF16 | [9728,2560] | 3805831680 | 49807360 | 6365962987179651582
model.layers.9.mlp.up_proj.weight | BF16 | [9728,2560] | 3855639040 | 49807360 | 8023484753675522465
model.layers.9.post_attention_layernorm.weight | BF16 | [2560] | 3905446400 | 5120 | 10939291893994662289
model.layers.9.self_attn.k_norm.weight | BF16 | [128] | 3905451520 | 256 | 622703054493044091
model.layers.9.self_attn.k_proj.weight | BF16 | [1024,2560] | 3905451776 | 5242880 | 17881196397232464692
model.layers.9.self_attn.o_proj.weight | BF16 | [2560,4096] | 3910694656 | 20971520 | 11320109249118377503
model.layers.9.self_attn.q_norm.weight | BF16 | [128] | 3931666176 | 256 | 17345337866749460699
model.layers.9.self_attn.q_proj.weight | BF16 | [4096,2560] | 3931666432 | 20971520 | 16715841696904021994
model.layers.9.self_attn.v_proj.weight | BF16 | [1024,2560] | 3952637952 | 5242880 | 14263219185864913334
