#TENSORS 219
#DATASEG 3987425280
model.layers.33.self_attn.q_proj.weight | BF16 | [4096,2560] | 3657112576 | 20971520 | 6125545517852451167
model.layers.33.self_attn.v_proj.weight | BF16 | [1024,2560] | 3678084096 | 5242880 | 18262730277537338184
model.layers.34.input_layernorm.weight | BF16 | [2560] | 3683326976 | 5120 | 5156454374788214479
model.layers.34.mlp.down_proj.weight | BF16 | [2560,9728] | 3683332096 | 49807360 | 11882423389373636231
model.layers.34.mlp.gate_proj.weight | BF16 | [9728,2560] | 3733139456 | 49807360 | 13502141244327113711
model.layers.34.mlp.up_proj.weight | BF16 | [9728,2560] | 3782946816 | 49807360 | 1902617739927031909
model.layers.34.post_attention_layernorm.weight | BF16 | [2560] | 3832754176 | 5120 | 14795260197928059027
model.layers.34.self_attn.k_norm.weight | BF16 | [128] | 3832759296 | 256 | 8289404237891815660
model.layers.34.self_attn.k_proj.weight | BF16 | [1024,2560] | 3832759552 | 5242880 | 3959497261450432790
model.layers.34.self_attn.o_proj.weight | BF16 | [2560,4096] | 3838002432 | 20971520 | 13256189143385017180
model.layers.34.self_attn.q_norm.weight | BF16 | [128] | 3858973952 | 256 | 7780100168273118147
model.layers.34.self_attn.q_proj.weight | BF16 | [4096,2560] | 3858974208 | 20971520 | 13630360128253840274
model.layers.34.self_attn.v_proj.weight | BF16 | [1024,2560] | 3879945728 | 5242880 | 7748520619506997715
model.layers.35.mlp.gate_proj.weight | BF16 | [9728,2560] | 3885188608 | 49807360 | 14890560603404511008
model.layers.35.self_attn.k_norm.weight | BF16 | [128] | 3934995968 | 256 | 16975177682720735775
model.layers.35.self_attn.k_proj.weight | BF16 | [1024,2560] | 3934996224 | 5242880 | 6890464643680366306
model.layers.35.self_attn.o_proj.weight | BF16 | [2560,4096] | 3940239104 | 20971520 | 10010520810448179293
model.layers.35.self_attn.q_norm.weight | BF16 | [128] | 3961210624 | 256 | 3452757580798424901
model.layers.35.self_attn.q_proj.weight | BF16 | [4096,2560] | 3961210880 | 20971520 | 3898984140993357923
model.layers.35.self_attn.v_proj.weight | BF16 | [1024,2560] | 3982182400 | 5242880 | 8897649574288259661
