#TENSORS 244
#DATASEG 167639366
encoder.down_blocks.0.resnets.1.conv1.weight | BF16 | [128,128,3,3] | 100281926 | 294912 | 4958152358369161252
encoder.down_blocks.0.resnets.1.conv2.bias | BF16 | [128] | 100576838 | 256 | 17626708049204693191
encoder.down_blocks.0.resnets.1.conv2.weight | BF16 | [128,128,3,3] | 100577094 | 294912 | 8181085857206152084
encoder.down_blocks.0.resnets.1.norm1.bias | BF16 | [128] | 100872006 | 256 | 10667683660519133024
encoder.down_blocks.0.resnets.1.norm1.weight | BF16 | [128] | 100872262 | 256 | 14486125921927813478
encoder.down_blocks.0.resnets.1.norm2.bias | BF16 | [128] | 100872518 | 256 | 10965864887199637441
encoder.down_blocks.0.resnets.1.norm2.weight | BF16 | [128] | 100872774 | 256 | 3299783351856788837
encoder.down_blocks.1.downsamplers.0.conv.bias | BF16 | [256] | 100873030 | 512 | 1992097400479672584
encoder.down_blocks.1.downsamplers.0.conv.weight | BF16 | [256,256,3,3] | 100873542 | 1179648 | 7928105908332376379
encoder.down_blocks.1.resnets.0.conv1.bias | BF16 | [256] | 102053190 | 512 | 3302600655714588663
encoder.down_blocks.1.resnets.0.conv1.weight | BF16 | [256,128,3,3] | 102053702 | 589824 | 4315718721826854620
encoder.down_blocks.1.resnets.0.conv2.bias | BF16 | [256] | 102643526 | 512 | 8165923163619110062
encoder.down_blocks.1.resnets.0.conv2.weight | BF16 | [256,256,3,3] | 102644038 | 1179648 | 17128335370501256871
encoder.down_blocks.1.resnets.0.conv_shortcut.bias | BF16 | [256] | 103823686 | 512 | 12349052866851706957
encoder.down_blocks.1.resnets.0.conv_shortcut.weight | BF16 | [256,128,1,1] | 103824198 | 65536 | 14184515192056625162
encoder.down_blocks.1.resnets.0.norm1.bias | BF16 | [128] | 103889734 | 256 | 6980432568277741856
encoder.down_blocks.1.resnets.0.norm1.weight | BF16 | [128] | 103889990 | 256 | 2628358294471502474
encoder.down_blocks.1.resnets.0.norm2.bias | BF16 | [256] | 103890246 | 512 | 1478705473762262527
encoder.down_blocks.1.resnets.0.norm2.weight | BF16 | [256] | 103890758 | 512 | 15956857910915011399
encoder.down_blocks.1.resnets.1.conv1.bias | BF16 | [256] | 103891270 | 512 | 8820814248488870320
encoder.down_blocks.1.resnets.1.conv1.weight | BF16 | [256,256,3,3] | 103891782 | 1179648 | 1390472104378225240
encoder.down_blocks.1.resnets.1.conv2.bias | BF16 | [256] | 105071430 | 512 | 145053916502320882
encoder.down_blocks.1.resnets.1.conv2.weight | BF16 | [256,256,3,3] | 105071942 | 1179648 | 10015840473653415154
encoder.down_blocks.1.resnets.1.norm1.bias | BF16 | [256] | 106251590 | 512 | 14942059410137060195
encoder.down_blocks.1.resnets.1.norm1.weight | BF16 | [256] | 106252102 | 512 | 12396594829343069621
encoder.down_blocks.1.resnets.1.norm2.bias | BF16 | [256] | 106252614 | 512 | 16000969595643132291
encoder.down_blocks.1.resnets.1.norm2.weight | BF16 | [256] | 106253126 | 512 | 4234679243897004591
encoder.down_blocks.2.downsamplers.0.conv.bias | BF16 | [512] | 106253638 | 1024 | 6388563132908877976
encoder.down_blocks.2.downsamplers.0.conv.weight | BF16 | [512,512,3,3] | 106254662 | 4718592 | 7090761315688495921
encoder.down_blocks.2.resnets.0.conv1.bias | BF16 | [512] | 110973254 | 1024 | 867284564401180686
encoder.down_blocks.2.resnets.0.conv1.weight | BF16 | [512,256,3,3] | 110974278 | 2359296 | 18054027690751244480
encoder.down_blocks.2.resnets.0.conv2.bias | BF16 | [512] | 113333574 | 1024 | 16646973282352824668
encoder.down_blocks.2.resnets.0.conv2.weight | BF16 | [512,512,3,3] | 113334598 | 4718592 | 15390650845875229651
encoder.down_blocks.2.resnets.0.conv_shortcut.bias | BF16 | [512] | 118053190 | 1024 | 3939188497455868725
encoder.down_blocks.2.resnets.0.conv_shortcut.weight | BF16 | [512,256,1,1] | 118054214 | 262144 | 5510140658955674264
encoder.down_blocks.2.resnets.0.norm1.bias | BF16 | [256] | 118316358 | 512 | 5877261429517397394
encoder.down_blocks.2.resnets.0.norm1.weight | BF16 | [256] | 118316870 | 512 | 3287362969849448616
encoder.down_blocks.2.resnets.0.norm2.bias | BF16 | [512] | 118317382 | 1024 | 11452143944668861263
encoder.down_blocks.2.resnets.0.norm2.weight | BF16 | [512] | 118318406 | 1024 | 2731535604329455529
encoder.down_blocks.2.resnets.1.conv1.bias | BF16 | [512] | 118319430 | 1024 | 6206906995274257679
encoder.down_blocks.2.resnets.1.conv1.weight | BF16 | [512,512,3,3] | 118320454 | 4718592 | 16171154440770883539
encoder.down_blocks.2.resnets.1.conv2.bias | BF16 | [512] | 123039046 | 1024 | 13951369621206657463
encoder.down_blocks.2.resnets.1.conv2.weight | BF16 | [512,512,3,3] | 123040070 | 4718592 | 13192829820942374308
encoder.down_blocks.2.resnets.1.norm1.bias | BF16 | [512] | 127758662 | 1024 | 14960229425741832187
encoder.down_blocks.2.resnets.1.norm1.weight | BF16 | [512] | 127759686 | 1024 | 4690220542803754977
encoder.down_blocks.2.resnets.1.norm2.bias | BF16 | [512] | 127760710 | 1024 | 10183568426401782937
encoder.down_blocks.2.resnets.1.norm2.weight | BF16 | [512] | 127761734 | 1024 | 14627172824873462846
encoder.down_blocks.3.resnets.0.conv1.bias | BF16 | [512] | 127762758 | 1024 | 13930064375879075038
encoder.down_blocks.3.resnets.0.conv1.weight | BF16 | [512,512,3,3] | 127763782 | 4718592 | 17030167135569814230
encoder.down_blocks.3.resnets.0.conv2.bias | BF16 | [512] | 132482374 | 1024 | 15995590340393679291
encoder.down_blocks.3.resnets.0.conv2.weight | BF16 | [512,512,3,3] | 132483398 | 4718592 | 16406499817303906869
encoder.down_blocks.3.resnets.0.norm1.bias | BF16 | [512] | 137201990 | 1024 | 873468100694375747
encoder.down_blocks.3.resnets.0.norm1.weight | BF16 | [512] | 137203014 | 1024 | 7969808385216202466
encoder.down_blocks.3.resnets.0.norm2.bias | BF16 | [512] | 137204038 | 1024 | 11820071112980469393
encoder.down_blocks.3.resnets.0.norm2.weight | BF16 | [512] | 137205062 | 1024 | 16728297592239662866
encoder.down_blocks.3.resnets.1.conv1.bias | BF16 | [512] | 137206086 | 1024 | 9435279332543554654
encoder.down_blocks.3.resnets.1.conv1.weight | BF16 | [512,512,3,3] | 137207110 | 4718592 | 5237343423953390288
encoder.down_blocks.3.resnets.1.conv2.bias | BF16 | [512] | 141925702 | 1024 | 12555995022414834122
